country,time,confirmed,deaths,recovered,netinfected,lat,lon,^GSPC,^GDAXI,NFLX,LHA.DE,GILD,MRNA,NCLH,searchindex
Afghanistan,2020-01-22,0,0,0,0,33,65,3321.75,13515.75,326,14.47,63.400002,21.969999,57.630001,11
Afghanistan,2020-01-23,0,0,0,0,33,65,3325.540039,13388.419922,349.600006,14.405,63.939999,21.469999,58.220001,15
Afghanistan,2020-01-24,0,0,0,0,33,65,3295.469971,13576.679688,353.160004,14.425,63.150002,21.120001,55.84,23
Afghanistan,2020-01-25,0,0,0,0,33,65,NA,NA,NA,NA,NA,NA,NA,28
Afghanistan,2020-01-26,0,0,0,0,33,65,NA,NA,NA,NA,NA,NA,NA,30
Afghanistan,2020-01-27,0,0,0,0,33,65,3243.629883,13204.769531,342.880005,13.8,63.830002,22.74,54.16,32
Afghanistan,2020-01-28,0,0,0,0,33,65,3276.23999,13323.69043,348.519989,14,64.360001,22.360001,55,41
Afghanistan,2020-01-29,0,0,0,0,33,65,3273.399902,13345,343.160004,14.17,64.300003,20.549999,56.02,38
Afghanistan,2020-01-30,0,0,0,0,33,65,3283.659912,13157.120117,347.73999,14.03,64.029999,20.99,54.799999,45
Afghanistan,2020-01-31,0,0,0,0,33,65,3225.52002,12981.969727,345.089996,13.83,63.200001,20.51,53.849998,47
Afghanistan,2020-02-01,0,0,0,0,33,65,NA,NA,NA,NA,NA,NA,NA,33
Afghanistan,2020-02-02,0,0,0,0,33,65,NA,NA,NA,NA,NA,NA,NA,28
Afghanistan,2020-02-03,0,0,0,0,33,65,3248.919922,13045.19043,358,14.06,66.360001,20.379999,54.189999,24
Afghanistan,2020-02-04,0,0,0,0,33,65,3297.590088,13281.740234,369.01001,14.52,67.400002,20.870001,54.75,21
Afghanistan,2020-02-05,0,0,0,0,33,65,3334.689941,13478.330078,369.670013,15.035,65.870003,20.049999,55.110001,20
Afghanistan,2020-02-06,0,0,0,0,33,65,3345.780029,13574.820313,366.950012,15,68.209999,19.879999,55.099998,21
Afghanistan,2020-02-07,0,0,0,0,33,65,3327.709961,13513.80957,366.769989,14.69,68.870003,23.24,52.810001,22
Afghanistan,2020-02-08,0,0,0,0,33,65,NA,NA,NA,NA,NA,NA,NA,21
Afghanistan,2020-02-09,0,0,0,0,33,65,NA,NA,NA,NA,NA,NA,NA,19
Afghanistan,2020-02-10,0,0,0,0,33,65,3352.090088,13494.030273,371.070007,14.49,68.989998,23.65,51,20
Afghanistan,2020-02-11,0,0,0,0,33,65,3357.75,13627.839844,373.690002,15.055,67.760002,21.35,52.490002,19
Afghanistan,2020-02-12,0,0,0,0,33,65,3379.449951,13749.780273,380.01001,15.37,66.949997,19.01,54.209999,17
Afghanistan,2020-02-13,0,0,0,0,33,65,3373.939941,13745.429688,381.399994,15.21,66.800003,19.045,53.43,19
Afghanistan,2020-02-14,0,0,0,0,33,65,3380.159912,13744.209961,380.399994,15.21,67.559998,19,52.459999,15
Afghanistan,2020-02-15,0,0,0,0,33,65,NA,NA,NA,NA,NA,NA,NA,14
Afghanistan,2020-02-16,0,0,0,0,33,65,NA,NA,NA,NA,NA,NA,NA,13
Afghanistan,2020-02-17,0,0,0,0,33,65,NA,13783.889648,NA,15.3,NA,NA,NA,13
Afghanistan,2020-02-18,0,0,0,0,33,65,3370.290039,13681.19043,387.779999,15.29,67.010002,18.91,51.689999,12
Afghanistan,2020-02-19,0,0,0,0,33,65,3386.149902,13789,386.190002,15.4,67.349998,18.92,52.02,11
Afghanistan,2020-02-20,0,0,0,0,33,65,3373.22998,13664,386,15.015,67,18.540001,48.509998,10
Afghanistan,2020-02-21,0,0,0,0,33,65,3337.75,13579.330078,380.070007,14.815,69.699997,18.23,46.970001,19
Afghanistan,2020-02-22,0,0,0,0,33,65,NA,NA,NA,NA,NA,NA,NA,32
Afghanistan,2020-02-23,0,0,0,0,33,65,NA,NA,NA,NA,NA,NA,NA,48
Afghanistan,2020-02-24,1,0,0,1,33,65,3225.889893,13035.240234,368.700012,13.51,72.900002,18.59,42.580002,55
Afghanistan,2020-02-25,1,0,0,1,33,65,3128.209961,12790.490234,360.089996,13.3,70.099998,23.76,39.310001,68
Afghanistan,2020-02-26,1,0,0,1,33,65,3116.389893,12774.879883,379.23999,13.06,74.699997,29.16,36.209999,78
Afghanistan,2020-02-27,1,0,0,1,33,65,2978.76001,12367.459961,371.709991,12.27,72.660004,26.16,34.740002,77
Afghanistan,2020-02-28,1,0,0,1,33,65,2954.219971,11890.349609,369.029999,11.69,69.360001,25.93,37.259998,81
Afghanistan,2020-02-29,1,0,0,1,33,65,NA,NA,NA,NA,NA,NA,NA,76
Afghanistan,2020-03-01,1,0,0,1,33,65,NA,NA,NA,NA,NA,NA,NA,71
Afghanistan,2020-03-02,1,0,0,1,33,65,3090.22998,11857.870117,381.049988,10.93,75.400002,29.879999,35.59,85
Afghanistan,2020-03-03,1,0,0,1,33,65,3003.370117,11985.389648,368.769989,11.9,74.209999,27.91,33.619999,86
Afghanistan,2020-03-04,1,0,0,1,33,65,3130.120117,12127.69043,383.790009,11.945,76.010002,27.49,33,92
Afghanistan,2020-03-05,1,0,0,1,33,65,3023.939941,11944.719727,372.779999,11.5,76.129997,28.01,28.59,98
Afghanistan,2020-03-06,1,0,0,1,33,65,2972.370117,11541.870117,368.970001,NA,80.220001,29.610001,27.1,100
Algeria,2020-01-22,0,0,0,0,28.0339,1.6596,3321.75,13515.75,326,14.47,63.400002,21.969999,57.630001,11
Algeria,2020-01-23,0,0,0,0,28.0339,1.6596,3325.540039,13388.419922,349.600006,14.405,63.939999,21.469999,58.220001,15
Algeria,2020-01-24,0,0,0,0,28.0339,1.6596,3295.469971,13576.679688,353.160004,14.425,63.150002,21.120001,55.84,23
Algeria,2020-01-25,0,0,0,0,28.0339,1.6596,NA,NA,NA,NA,NA,NA,NA,28
Algeria,2020-01-26,0,0,0,0,28.0339,1.6596,NA,NA,NA,NA,NA,NA,NA,30
Algeria,2020-01-27,0,0,0,0,28.0339,1.6596,3243.629883,13204.769531,342.880005,13.8,63.830002,22.74,54.16,32
Algeria,2020-01-28,0,0,0,0,28.0339,1.6596,3276.23999,13323.69043,348.519989,14,64.360001,22.360001,55,41
Algeria,2020-01-29,0,0,0,0,28.0339,1.6596,3273.399902,13345,343.160004,14.17,64.300003,20.549999,56.02,38
Algeria,2020-01-30,0,0,0,0,28.0339,1.6596,3283.659912,13157.120117,347.73999,14.03,64.029999,20.99,54.799999,45
Algeria,2020-01-31,0,0,0,0,28.0339,1.6596,3225.52002,12981.969727,345.089996,13.83,63.200001,20.51,53.849998,47
Algeria,2020-02-01,0,0,0,0,28.0339,1.6596,NA,NA,NA,NA,NA,NA,NA,33
Algeria,2020-02-02,0,0,0,0,28.0339,1.6596,NA,NA,NA,NA,NA,NA,NA,28
Algeria,2020-02-03,0,0,0,0,28.0339,1.6596,3248.919922,13045.19043,358,14.06,66.360001,20.379999,54.189999,24
Algeria,2020-02-04,0,0,0,0,28.0339,1.6596,3297.590088,13281.740234,369.01001,14.52,67.400002,20.870001,54.75,21
Algeria,2020-02-05,0,0,0,0,28.0339,1.6596,3334.689941,13478.330078,369.670013,15.035,65.870003,20.049999,55.110001,20
